,1,2,3,4,5,6,7,8,9,10
theta_x0,-2.238646161386232,-2.097568926272283,-2.164326873829161,-2.1861625176302795,-2.2196470413920055,-2.227211831763877,-2.2696647752986783,-2.157131744089607,-2.238646161386231,-2.182496770625938
theta_x1,8.003597784522757e-16,-4.6647315639821376e-15,-7.764205944837951e-16,-3.4007056430122417e-15,-3.402370977549181e-17,-6.054971339134837e-16,-1.1575898233931656e-15,-2.5654478541525822e-15,3.6910484415486416e-16,-1.1089976298613878e-15
theta_x2,4.3326351116898534e-16,-2.199691817583725e-15,-5.365222155440112e-16,-3.233862252057424e-15,-6.765837889943778e-16,-1.2488436211081466e-15,-1.0828318226617194e-15,1.3924509693434108e-15,1.3621824185197403e-15,-1.0211630180663722e-15
theta_x3,-7.012836396052836e-16,-5.422629937671764e-15,-4.31677841620607e-16,-1.569406641680851e-15,-4.838490719194506e-16,9.552081348118684e-17,-6.261634255186181e-16,5.2388648974499604e-17,-1.525922663079738e-15,-1.028164289354714e-15
theta_x4,1.9065119853204715e-15,-6.4260402554694414e-15,-6.239499657686077e-16,-1.2279853060330016e-15,-8.927997230401282e-16,5.684295626788104e-16,-1.0128398706283915e-15,-2.458935832727603e-15,1.4499240015247614e-15,-1.19585967899663e-15
theta_x5,8.54871728961371e-17,-2.748030969446093e-15,-7.445988270404774e-16,-3.378815745710049e-15,-1.1492381120821933e-15,-1.843608599116921e-15,-6.856239928733011e-16,1.090282956509961e-15,-3.4323786503090576e-17,-1.0769348714623385e-15
theta_x6,9.8911619635563e-16,-5.115778171453185e-15,-1.0842345539903904e-15,-3.533534576050103e-15,-1.849335499552279e-15,3.3068917974314118e-16,-2.84089522453106e-15,7.315814620767464e-16,1.5634531924462802e-15,-1.3182856444070838e-15
theta_x7,2.9691187324809956e-16,-1.7325307855031734e-15,1.8110328052027113e-15,-7.377894591561097e-16,-2.1115933076150876e-15,7.858898716979938e-16,6.206726788368396e-17,-8.880419547866813e-16,2.101155506893878e-16,-1.2167663276942648e-15
theta_x8,-4.1563049298550417e-16,-3.587107462917538e-15,1.1858800978240907e-15,-2.9101258440060003e-15,-7.912513237210803e-16,-1.1930595400500017e-15,-1.7054527663094855e-15,-4.931009304579936e-16,4.568029677717514e-16,-1.2218486321245107e-15
theta_x9,-1.4365915864307977e-15,-4.222719396373978e-15,-1.7013936555917068e-15,-3.9021980091646954e-15,-1.5796623268708282e-16,-5.631467514533033e-16,-1.769818241208375e-15,-1.2319959867094598e-15,-1.1661551354199182e-15,-1.215288929359187e-15
theta_x10,2.7503925063380563e-16,-4.0305906760333255e-15,-8.702367530292554e-16,-1.2032574011241093e-15,-2.3521624462989166e-15,1.3136991494633314e-15,-1.9771812794123882e-15,4.412673929958068e-16,-8.150478342920964e-16,-1.0500412711501219e-15
theta_x11,-2.6027328440629065e-16,-5.776097193136805e-15,1.426715227440903e-15,-1.444358521673906e-15,-7.432064223304266e-16,-5.688921556057385e-16,2.1757905487778668e-17,-1.40267889895777e-15,-1.2611408019256381e-15,-1.0733774595821117e-15
theta_x12,1.0070654164349917e-15,-2.366565277078793e-15,1.1876934620976454e-15,-2.93502259533322e-15,3.07564159326053e-16,-4.431686499254778e-16,-1.1078697122369867e-15,-2.0590936363381247e-16,7.408228514069432e-16,-1.2233490527158016e-15
theta_x13,2.160023424303968e-15,-6.069348727303726e-15,1.6655403907902183e-15,-3.7388680114898935e-15,-1.2564023895341349e-17,1.35053542423454e-15,-2.1139069783813515e-15,1.1098760799299605e-16,1.4670126711853742e-15,-1.2589796609156926e-15
theta_x14,2.9019577502250422e-15,-3.0480872455681154e-15,-1.290389091875474e-15,-1.3219147998455593e-15,-1.1535032188684616e-15,-1.6578867908142086e-15,-1.2430252881791448e-15,7.258499357121191e-16,2.2293004430766412e-15,-1.1383928024467482e-15
theta_x15,1.0541197544474312e-15,-6.162353035262436e-15,-1.9246224984096687e-15,-1.3809740388263482e-15,-2.3099439028229103e-15,-7.627000882711367e-16,-1.007600429766228e-15,2.221926346616482e-16,9.127038793359942e-16,-1.2392295226887686e-15
theta_x16,2.0835185428798788e-17,-2.913516650160377e-15,2.5963814431762005e-15,-1.194044862984357e-15,-1.841744349621401e-15,4.94895791014471e-16,-3.3371667710860167e-16,-2.141342658745769e-17,-8.100343008440529e-17,-1.0827122399341183e-15
theta_x17,-1.0181855358837318e-15,-4.1744339466613225e-15,-3.8989644846054695e-16,-3.5121165235333725e-15,-2.313593761016362e-15,-2.366764192037372e-16,-1.4264440063583802e-15,-2.1101176361781867e-15,-1.8360439874118537e-15,-1.1225801206688345e-15
theta_x18,1.1187717419147712e-15,-2.466346571416979e-15,-1.5839968225961352e-15,-3.986639722045978e-15,-1.4098860967592951e-15,9.419733511724824e-16,-2.0265599629015944e-15,-1.007430250332674e-15,1.5347869174395086e-15,-1.095670853284436e-15
theta_x19,-1.6926090159093585e-15,-2.0506744450680517e-15,-1.1114766514571301e-15,-9.700388640491545e-16,-2.072578220158052e-15,7.069853961520299e-16,-1.0394915861485856e-15,-2.146000969519929e-15,-1.2527571572699496e-15,-1.2169218759086856e-15
theta_x20,9.410990505405918e-16,-1.8819506138652745e-15,-1.3462471878019273e-15,-3.907272653573087e-15,-1.12389033265122e-15,-1.3202032060159288e-15,-1.6066468687581854e-15,-3.247633643492044e-17,8.268299544059503e-16,-1.1014732912463767e-15
theta_x21,1.0424994201230228e-15,-5.956129108438313e-15,2.058478387745309e-15,-2.0871591492147954e-15,-2.1357625594414894e-15,1.148386941096645e-16,-2.062986930348073e-15,-1.8065687834578644e-15,1.6540392350119813e-15,-1.30607857258836e-15
theta_x22,1.9206858326015194e-17,1.6564064934480398e-16,-1.2464520156759335e-15,-1.5869897988333538e-15,-2.9698095834381376e-15,-2.799103541543486e-16,-1.0678332849750856e-15,-3.6278850294261644e-16,1.0595398827312483e-16,-1.215059295745447e-15
theta_x23,1.1842378929334993e-18,-4.942414533193326e-15,-1.3101834432186867e-15,-3.572850348909643e-15,-1.9899706882320366e-15,3.8753259860394924e-16,-1.7821104627493625e-15,7.342922566285404e-16,9.252024098116812e-16,-1.2561492476887768e-15
theta_x24,-1.2013908386639582e-15,-4.499243570303213e-15,-1.4150717634701487e-16,-2.5531775767658397e-15,-1.2948970599483773e-15,-9.359527042285272e-16,-1.9818982662371887e-15,-2.0769867307516673e-15,-1.9041952469014314e-15,-1.0432490150331889e-15
theta_x25,-4.4316402399620857e-16,-4.49367857739228e-15,1.449058465811486e-15,-1.0117184867652905e-15,-3.106912875120806e-16,-3.350976903367574e-16,-1.7538432425890073e-15,-1.7848963048313235e-15,-3.760069740945786e-16,-1.1748547560290494e-15
